Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.704363	0.0	29.704363	29.704363	0.0	0.0	0.0	0.0	1556582.9	6398663.0	4842080.5	0.0	1770.0	0.0	11.370485	-1.2636184e-07	213.53076	-0.16829316	-159.16733	-0.03470244	0.0011626577	-0.031641595	-0.037043523	11.683732
1	29.790056	0.0	29.790056	29.790056	0.0	0.0	0.0	0.0	1561198.9	6398663.0	4837464.5	0.0	1770.0	0.0	11.711932	-1.9073487e-07	148.91014	-0.16854854	-55.005188	10.047293	0.00038939572	10.047444	10.044635	11.939812
2	29.68917	0.0	29.68917	29.68917	0.0	0.0	0.0	0.0	1556550.9	6398663.0	4842112.5	0.0	1770.0	0.0	12.132417	2.1457673e-08	131.327	-0.16514257	-43.054962	13.0258665	0.00011004476	13.025912	13.025118	12.387696
3	29.580048	0.0	29.580048	29.580048	0.0	0.0	0.0	0.0	1551054.9	6398663.0	4847608.5	0.0	1770.0	0.0	12.263842	-4.5776366e-07	116.645485	-0.15788765	-36.86656	15.456614	5.770888e-05	15.456636	15.456219	12.505362
4	29.549894	0.0	29.549894	29.549894	0.0	0.0	0.0	0.0	1547848.2	6398663.0	4850815.0	0.0	1769.0	0.0	12.381089	-3.194809e-07	105.27856	-0.1283112	-33.162605	17.655483	3.7536505e-05	17.6555	17.655228	12.635025
5	29.314886	0.0	29.314886	29.314886	0.0	0.0	0.0	0.0	1535752.2	6398663.0	4862911.0	0.0	1769.0	0.0	12.3236685	-6.008148e-07	92.62782	-0.0811058	-29.3769	19.729977	2.6728754e-05	19.729988	19.729794	12.623867
6	29.19723	0.0	29.19723	29.19723	0.0	0.0	0.0	0.0	1530910.9	6398663.0	4867752.5	0.0	1770.0	0.0	12.892462	-3.9100647e-07	83.24502	-0.06817382	-26.707458	21.689856	2.0576394e-05	21.689863	21.689714	13.182352
7	28.783112	0.0	28.783112	28.783112	0.0	0.0	0.0	0.0	1508632.2	6398663.0	4890031.0	0.0	1770.0	0.0	12.778902	5.8412553e-07	71.410126	-0.010679285	-23.368763	23.571068	1.682796e-05	23.571075	23.570953	13.271084
8	28.33517	0.0	28.33517	28.33517	0.0	0.0	0.0	0.0	1484054.9	6398663.0	4914608.5	0.0	1770.0	0.0	13.277233	1.001358e-07	60.14343	-0.031772763	-20.095055	25.35074	1.4749615e-05	25.350742	25.350641	13.67583
9	27.91337	0.0	27.91337	27.91337	0.0	0.0	0.0	0.0	1462046.9	6398663.0	4936616.5	0.0	1770.0	0.0	13.845642	6.842613e-07	51.305817	-0.038670346	-17.592285	27.023396	1.2084224e-05	27.023397	27.023314	14.244007
10	27.387228	0.0	27.387228	27.387228	0.0	0.0	0.0	0.0	1435070.9	6398663.0	4963592.5	0.0	1770.0	0.0	15.192209	-1.0490418e-06	42.577915	-0.08760994	-15.103201	28.611109	1.0182455e-05	28.61111	28.611038	15.5004425
11	26.595793	0.0	26.595793	26.595793	0.0	0.0	0.0	0.0	1393182.9	6398663.0	5005480.5	0.0	1770.0	0.0	16.121517	-4.36306e-07	33.358105	-0.06813964	-12.215778	30.107021	9.751757e-06	30.107027	30.106962	16.421856
12	25.96194	0.0	25.96194	25.96194	0.0	0.0	0.0	0.0	1359494.9	6398663.0	5039168.5	0.0	1770.0	0.0	16.665306	-7.9154967e-07	25.80573	-0.063183315	-9.671314	31.478687	9.529111e-06	31.478685	31.478628	16.98442
