Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.688745	0.0	29.688745	29.688745	0.0	0.0	0.0	0.0	1555742.9	6398663.0	4842920.5	0.0	1770.0	0.0	2.819971	7.31945e-07	212.92862	-0.16936162	-159.06923	0.04297895	0.0010237329	0.04593977	0.040899377	2.900293
1	29.735365	0.0	29.735365	29.735365	0.0	0.0	0.0	0.0	1557950.9	6398663.0	4840712.5	0.0	1770.0	0.0	2.901091	1.1205673e-07	147.15933	-0.16379635	-54.75863	10.151731	0.00044635028	10.15189	10.148648	2.9519305
2	29.441345	0.0	29.441345	29.441345	0.0	0.0	0.0	0.0	1542574.9	6398663.0	4856088.5	0.0	1770.0	0.0	3.0064409	5.00679e-07	126.87656	-0.15729265	-42.004204	13.131731	0.00011775156	13.131771	13.13092	3.0577419
3	29.221098	0.0	29.221098	29.221098	0.0	0.0	0.0	0.0	1530192.2	6398663.0	4868471.0	0.0	1769.0	0.0	3.0490184	-3.004074e-07	112.17149	-0.14202866	-36.059937	15.544489	6.130264e-05	15.54451	15.544066	3.1062431
4	28.773273	0.0	28.773273	28.773273	0.0	0.0	0.0	0.0	1508334.9	6398663.0	4890328.5	0.0	1770.0	0.0	3.0927653	4.6253206e-07	97.71009	-0.121088736	-31.389526	17.732107	3.9727835e-05	17.73212	17.731833	3.171127
5	28.16756	0.0	28.16756	28.16756	0.0	0.0	0.0	0.0	1475414.9	6398663.0	4923248.5	0.0	1770.0	0.0	3.3292212	4.2915343e-07	81.88746	-0.09236464	-26.636395	19.76844	2.8382989e-05	19.76845	19.768244	3.4138637
6	27.57665	0.0	27.57665	27.57665	0.0	0.0	0.0	0.0	1444374.9	6398663.0	4954288.5	0.0	1770.0	0.0	3.5823517	-7.2956084e-07	67.75083	-0.085355125	-22.34903	21.65823	2.2161388e-05	21.658241	21.658083	3.6682377
7	27.11564	0.0	27.11564	27.11564	0.0	0.0	0.0	0.0	1419502.9	6398663.0	4979160.5	0.0	1770.0	0.0	4.019778	3.0994414e-08	57.342422	-0.10192352	-19.48404	23.41125	1.8104747e-05	23.411255	23.411125	4.099953
8	26.66853	0.0	26.66853	26.66853	0.0	0.0	0.0	0.0	1397326.9	6398663.0	5001336.5	0.0	1770.0	0.0	4.375377	2.8371812e-07	48.539146	-0.08212183	-16.837013	25.071352	1.5549278e-05	25.071362	25.071253	4.477305
9	26.467075	0.0	26.467075	26.467075	0.0	0.0	0.0	0.0	1385302.9	6398663.0	5013360.5	0.0	1770.0	0.0	4.521455	-4.506111e-07	41.85798	-0.10329266	-14.90509	26.64087	1.3373221e-05	26.640877	26.64078	4.634361
10	25.950266	0.0	25.950266	25.950266	0.0	0.0	0.0	0.0	1361878.1	6398663.0	5036785.0	0.0	1774.0	0.0	4.6589503	-8.583069e-08	34.60539	-0.09794032	-12.691263	28.142662	1.1144532e-05	28.142668	28.142586	4.771918
11	25.897873	0.0	25.897873	25.897873	0.0	0.0	0.0	0.0	1359230.1	6398663.0	5039433.0	0.0	1774.0	0.0	4.679851	9.393692e-07	30.436735	-0.09963502	-11.411535	29.555414	9.896181e-06	29.555416	29.555346	4.804935
12	25.333351	0.0	25.333351	25.333351	0.0	0.0	0.0	0.0	1329486.1	6398663.0	5069177.0	0.0	1774.0	0.0	4.729654	-3.7908555e-07	23.9155	-0.11342436	-9.248769	30.918346	9.347955e-06	30.918348	30.918282	4.844547
