Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
20	29.413204	0.0	29.413204	29.413204	0.0	0.0	0.0	0.0	1542110.1	6398663.0	4856553.0	0.0	1773.0	0.0	5.4308457	-3.1208992e-06	15.449922	-0.058688227	-6.5718184	42.89275	0.0	42.89275	42.89275	5.522674
21	29.536196	0.0	29.536196	29.536196	0.0	0.0	0.0	0.0	1548686.1	6398663.0	4849977.0	0.0	1773.0	0.0	5.6397095	-7.116794e-06	13.896089	-0.051298894	-6.09477	44.021713	1.1444092e-05	44.021725	44.021725	5.726781
22	29.278963	0.0	29.278963	29.278963	0.0	0.0	0.0	0.0	1535870.1	6398663.0	4862793.0	0.0	1773.0	0.0	5.7493005	-7.83205e-06	11.131572	-0.049581792	-5.038597	45.12765	1.1444092e-05	45.127663	45.127663	5.8318105
23	29.169788	0.0	29.169788	29.169788	0.0	0.0	0.0	0.0	1529814.1	6398663.0	4868849.0	0.0	1773.0	0.0	6.039641	6.2561035e-06	9.064828	-0.07965277	-4.2020617	46.152607	3.8146973e-06	46.152603	46.152603	6.1385856
24	29.05662	0.0	29.05662	29.05662	0.0	0.0	0.0	0.0	1523550.1	6398663.0	4875113.0	0.0	1773.0	0.0	6.227711	6.158352e-06	7.4497795	-0.063068725	-3.5152721	47.107563	3.8146973e-06	47.107567	47.107567	6.3238163
25	29.073622	0.0	29.073622	29.073622	0.0	0.0	0.0	0.0	1524846.1	6398663.0	4873817.0	0.0	1773.0	0.0	6.403437	-1.3589859e-06	6.5092306	-0.08342067	-3.2070854	47.99442	7.6293945e-06	47.99441	47.99441	6.5033627
26	28.799011	0.0	28.799011	28.799011	0.0	0.0	0.0	0.0	1510214.1	6398663.0	4888449.0	0.0	1773.0	0.0	6.721432	-7.2455405e-06	4.8660874	-0.054197047	-2.4936328	48.857964	3.8146973e-06	48.85796	48.85796	6.8096447
27	28.625454	0.0	28.625454	28.625454	0.0	0.0	0.0	0.0	1501150.1	6398663.0	4897513.0	0.0	1773.0	0.0	6.998191	-4.653931e-06	3.7199707	-0.039238494	-1.9615178	49.63611	3.8146973e-06	49.636105	49.636105	7.108513
28	28.324518	0.0	28.324518	28.324518	0.0	0.0	0.0	0.0	1486054.1	6398663.0	4912609.0	0.0	1773.0	0.0	7.1107616	1.2636184e-07	2.6129024	-0.049313307	-1.3928546	50.339493	3.8146973e-06	50.339497	50.339497	7.2184563
29	28.012846	0.0	28.012846	28.012846	0.0	0.0	0.0	0.0	1470142.1	6398663.0	4928521.0	0.0	1773.0	0.0	7.3571324	1.7786026e-06	1.7612411	-0.04749922	-0.9725782	50.945457	7.6293945e-06	50.945465	50.945465	7.485237
30	27.853657	0.0	27.853657	27.853657	0.0	0.0	0.0	0.0	1462726.1	6398663.0	4935937.0	0.0	1774.0	0.0	7.4196067	9.179115e-08	1.2431393	-0.054062326	-0.6936067	51.46149	3.8146973e-06	51.461494	51.461494	7.554869
31	27.770342	0.0	27.770342	27.770342	0.0	0.0	0.0	0.0	1458390.1	6398663.0	4940273.0	0.0	1774.0	0.0	7.627145	-1.3017655e-06	0.908056	-0.011357898	-0.51373076	51.905827	7.6293945e-06	51.905834	51.905834	7.775952
32	27.987047	0.0	27.987047	27.987047	0.0	0.0	0.0	0.0	1469902.1	6398663.0	4928761.0	0.0	1774.0	0.0	7.8664017	-1.8715858e-06	0.91937405	0.021288376	-0.5279738	52.296753	1.1444092e-05	52.29674	52.29674	8.002336
33	28.025988	0.0	28.025988	28.025988	0.0	0.0	0.0	0.0	1471902.1	6398663.0	4926761.0	0.0	1774.0	0.0	8.016752	2.9563904e-07	0.7807784	-0.009338736	-0.46855235	52.698795	3.8146973e-06	52.6988	52.6988	8.151103
34	28.01406	0.0	28.01406	28.01406	0.0	0.0	0.0	0.0	1470990.1	6398663.0	4927673.0	0.0	1774.0	0.0	8.096868	-8.1062313e-07	0.56261903	-0.005348234	-0.33450702	53.084084	3.8146973e-06	53.08408	53.08408	8.232977
