Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.760168	0.0	29.760168	29.760168	0.0	0.0	0.0	0.0	1559486.9	6398663.0	4839176.5	0.0	1770.0	0.0	2.8245564	3.7908555e-07	214.2963	-0.17031917	-159.79562	0.031071661	0.0019173903	0.041539844	0.027068328	2.902519
1	29.75929	0.0	29.75929	29.75929	0.0	0.0	0.0	0.0	1559550.9	6398663.0	4839112.5	0.0	1770.0	0.0	2.9967043	-1.4853478e-06	148.42058	-0.15004341	-54.91452	10.11683	0.00037786821	10.116986	10.11423	3.0488434
2	29.547758	0.0	29.547758	29.547758	0.0	0.0	0.0	0.0	1547680.2	6398663.0	4850983.0	0.0	1769.0	0.0	3.0099766	-1.8596648e-07	129.21445	-0.15029395	-42.46689	13.09267	0.00010547862	13.092718	13.09195	3.0750675
3	29.388493	0.0	29.388493	29.388493	0.0	0.0	0.0	0.0	1539656.2	6398663.0	4859007.0	0.0	1769.0	0.0	2.9465768	-3.6001205e-07	115.35927	-0.12411794	-36.863876	15.510894	5.512485e-05	15.510918	15.510513	3.0064416
4	28.91551	0.0	28.91551	28.91551	0.0	0.0	0.0	0.0	1515726.9	6398663.0	4882936.5	0.0	1770.0	0.0	2.9468048	6.437302e-07	99.12967	-0.06739448	-31.534058	17.712858	3.6065536e-05	17.712873	17.71261	3.0096176
5	28.752932	0.0	28.752932	28.752932	0.0	0.0	0.0	0.0	1506584.2	6398663.0	4892079.0	0.0	1770.0	0.0	3.006562	-5.9366226e-07	87.59364	-0.033452135	-28.050556	19.745684	2.599038e-05	19.745693	19.745504	3.0693476
6	28.016306	0.0	28.016306	28.016306	0.0	0.0	0.0	0.0	1467728.2	6398663.0	4930935.0	0.0	1770.0	0.0	3.1582596	6.4849854e-07	72.495605	-0.06894503	-23.6483	21.671734	2.0979101e-05	21.671747	21.6716	3.2314258
7	27.347536	0.0	27.347536	27.347536	0.0	0.0	0.0	0.0	1432910.9	6398663.0	4965752.5	0.0	1770.0	0.0	3.2407584	-7.4386594e-07	59.898636	-0.06559814	-19.956814	23.461603	1.6256161e-05	23.461609	23.46149	3.3156023
8	26.66631	0.0	26.66631	26.66631	0.0	0.0	0.0	0.0	1396896.2	6398663.0	5001767.0	0.0	1770.0	0.0	3.4591851	2.6226044e-07	48.784134	-0.011537843	-16.79151	25.129604	1.3497777e-05	25.129608	25.12951	3.531568
9	25.98994	0.0	25.98994	25.98994	0.0	0.0	0.0	0.0	1360580.9	6398663.0	5038082.5	0.0	1770.0	0.0	3.7699707	-7.581711e-07	39.30853	-0.06329904	-14.019083	26.685762	1.2162245e-05	26.685768	26.68568	3.839243
