Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.730593	0.0	29.730593	29.730593	0.0	0.0	0.0	0.0	1557822.9	6398663.0	4840840.5	0.0	1770.0	0.0	2.821883	1.1920929e-07	213.6577	-0.17061983	-157.51724	0.020198915	0.0016417434	0.024102574	0.01651537	2.8995814
1	29.558502	0.0	29.558502	29.558502	0.0	0.0	0.0	0.0	1548798.9	6398663.0	4849864.5	0.0	1770.0	0.0	2.8981423	-3.7908555e-07	147.22974	-0.14977041	-54.25071	9.813004	0.00038119435	9.813141	9.810378	2.9568856
2	29.505438	0.0	29.505438	29.505438	0.0	0.0	0.0	0.0	1546854.9	6398663.0	4851808.5	0.0	1770.0	0.0	3.0160658	5.4597854e-07	129.73192	-0.13434006	-42.59105	12.756648	0.00011138549	12.756688	12.755879	3.0688424
3	29.610563	0.0	29.610563	29.610563	0.0	0.0	0.0	0.0	1549728.2	6398663.0	4848935.0	0.0	1768.0	0.0	2.9756484	5.6028364e-07	116.80768	-0.033297308	-36.96689	15.171451	5.8771104e-05	15.171469	15.171043	3.035822
4	29.417076	0.0	29.417076	29.417076	0.0	0.0	0.0	0.0	1540080.2	6398663.0	4858583.0	0.0	1769.0	0.0	3.1050832	-2.503395e-07	104.73985	-0.045224007	-33.154083	17.371239	3.7983544e-05	17.371254	17.370977	3.1824002
5	28.757238	0.0	28.757238	28.757238	0.0	0.0	0.0	0.0	1505440.2	6398663.0	4893223.0	0.0	1769.0	0.0	3.2732806	5.4836274e-08	87.85953	-0.025083862	-27.980576	19.444347	2.753329e-05	19.444368	19.444162	3.3620603
6	28.352375	0.0	28.352375	28.352375	0.0	0.0	0.0	0.0	1483928.2	6398663.0	4914735.0	0.0	1769.0	0.0	3.3122332	-3.4093856e-07	75.94666	-0.0020380367	-24.59513	21.36132	2.1119096e-05	21.361338	21.361176	3.3983316
7	27.573744	0.0	27.573744	27.573744	0.0	0.0	0.0	0.0	1442880.2	6398663.0	4955783.0	0.0	1769.0	0.0	3.5337658	5.4121017e-07	61.848	-0.0134391375	-20.514713	23.174982	1.7110948e-05	23.174997	23.174864	3.6170292
8	27.010145	0.0	27.010145	27.010145	0.0	0.0	0.0	0.0	1414454.9	6398663.0	4984208.5	0.0	1770.0	0.0	3.7629495	-4.2438506e-07	51.50596	0.008451661	-17.545876	24.856634	1.4583424e-05	24.856638	24.856533	3.8325887
9	26.505121	0.0	26.505121	26.505121	0.0	0.0	0.0	0.0	1387160.2	6398663.0	5011503.0	0.0	1770.0	0.0	4.065366	7.8201293e-07	42.141224	-0.056820583	-14.60379	26.43619	1.2814771e-05	26.436192	26.436102	4.139641
