Epoch	AverageEp_ret	StdEp_ret	MaxEp_ret	MinEp_ret	AverageEp_fairness	StdEp_fairness	MaxEp_fairness	MinEp_fairness	Ep_tx	EP_new	Ep_waiting	Ep_capacity	Ep_rbgused	Ep_bler	Ep_interf	LossPi	LossV	DeltaLossPi	DeltaLossV	AverageVVAL	StdVVAL	MaxVVAL	MinVVAL	Ep_rbginterf
0	29.723053	0.0	29.723053	29.723053	0.0	0.0	0.0	0.0	1555526.9	6398663.0	4843136.5	0.0	1770.0	0.0	0.16090871	1.5640259e-06	212.41309	-0.16845958	-160.48993	-0.047700893	0.0016197053	-0.044958923	-0.05476456	0.1642392
1	29.75838	0.0	29.75838	29.75838	0.0	0.0	0.0	0.0	1557702.9	6398663.0	4840960.5	0.0	1770.0	0.0	0.16024664	1.2516975e-06	145.80208	-0.16727477	-54.877197	10.260646	0.00051637925	10.260869	10.257066	0.16342363
2	29.785492	0.0	29.785492	29.785492	0.0	0.0	0.0	0.0	1559294.9	6398663.0	4839368.5	0.0	1770.0	0.0	0.1576255	5.185604e-06	128.92598	-0.16473137	-42.81675	13.26115	0.00013903179	13.261171	13.260179	0.16136283
3	29.771784	0.0	29.771784	29.771784	0.0	0.0	0.0	0.0	1557622.9	6398663.0	4841040.5	0.0	1769.0	0.0	0.1578162	2.1088124e-06	115.11009	-0.15947711	-36.89083	15.700584	5.6683082e-05	15.7006035	15.700205	0.16178429
4	29.60956	0.0	29.60956	29.60956	0.0	0.0	0.0	0.0	1550270.9	6398663.0	4848392.5	0.0	1770.0	0.0	0.16216628	-2.4882554e-05	102.56405	-0.14098446	-32.641037	17.911186	3.7982587e-05	17.911194	17.910923	0.16586636
5	29.974428	0.0	29.974428	29.974428	0.0	0.0	0.0	0.0	1567630.9	6398663.0	4831032.5	0.0	1769.0	0.0	0.1601623	-2.3078917e-06	95.303276	-0.14844128	-30.400642	19.979242	9.710634e-06	19.979242	19.979174	0.16402674
6	29.98699	0.0	29.98699	29.98699	0.0	0.0	0.0	0.0	1569382.9	6398663.0	4829280.5	0.0	1770.0	0.0	0.16370732	1.5952586e-05	86.57765	-0.12706618	-27.912136	21.978178	2.6252214e-05	21.978178	21.977995	0.16747427
7	29.782572	0.0	29.782572	29.782572	0.0	0.0	0.0	0.0	1559758.9	6398663.0	4838904.5	0.0	1770.0	0.0	0.17047448	-7.213354e-06	77.43678	-0.15772863	-25.306145	23.906225	4.1690295e-05	23.906233	23.905935	0.17400478
8	29.77225	0.0	29.77225	29.77225	0.0	0.0	0.0	0.0	1558758.9	6398663.0	4839904.5	0.0	1770.0	0.0	0.18047729	-7.891655e-06	69.12241	-0.1180338	-22.912308	25.757105	3.026981e-05	25.757107	25.756891	0.18368569
9	29.636435	0.0	29.636435	29.636435	0.0	0.0	0.0	0.0	1552110.9	6398663.0	4846552.5	0.0	1770.0	0.0	0.19117123	1.8777846e-05	60.88726	-0.123087734	-20.581726	27.532986	3.8146973e-06	27.532982	27.532982	0.19461691
